1: 2 3 9 10 11 12 13
2: 1 8 20 22 23 24 26
3: 1 8 19 21 25 27 28
4: 5 6 13 18 22 25 26
5: 4 7 11 15 21 24 28
6: 4 7 10 14 17 23 27
7: 5 6 9 12 16 19 20
8: 2 3 14 15 16 17 18
9: 1 7 15 17 18 24 26 28
10: 1 6 15 16 18 25 26 28
11: 1 5 14 16 17 18 23 27
12: 1 7 14 18 21 22 25 27
13: 1 4 16 17 19 20 27 28
14: 6 8 11 12 20 24 26 28
15: 5 8 9 10 20 22 23 27
16: 7 8 10 11 13 21 22 24
17: 6 8 9 11 13 21 22 25
18: 4 8 9 10 11 12 19 20
19: 3 7 13 18 22 23 24 26
20: 2 7 13 14 15 18 21 25
21: 3 5 12 16 17 20 23 26
22: 2 4 12 15 16 17 19 28
23: 2 6 11 15 19 21 25 28
24: 2 5 9 14 16 19 25 27
25: 3 4 10 12 17 20 23 24
26: 2 4 9 10 14 19 21 27
27: 3 6 11 12 13 15 24 26
28: 3 5 9 10 13 14 22 23

